Year,None,Aruba,Afghanistan,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Not classified,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Liechtenstein,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,North Macedonia,Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People’s Rep.",Portugal,Paraguay,West Bank and Gaza,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,World,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1979,,,3697940410,,,411578334.2,2.49E+11,31225463218,69252328953,,,109079978.9,1.35E+11,73937296655,,782496666.7,1.16E+11,1186231265,1748480982,15565480322,,,1139800100,,,151800000,517200000,4421343606,2.25E+11,670362452.1,2803780006,,819877300.6,700764892.7,2.43E+11,,1.12E+11,,21803696985,1.78E+11,9142935858,5811444661,15068422236,1198749666,27940411250,,,4035519323,10835423592,19584443288,,,1288715210,,8.81E+11,,55017758.89,70366241969,5498800000,33243422158,3.25E+11,1.04E+12,1.68E+12,,4.07E+12,14175166008,18020571429,2.65E+12,,2.15E+11,,,2.95E+12,1.41E+11,44465255381,1019743927,6.14E+11,,,3030251116,4.39E+11,,4020227920,,,207114382.5,118537875.1,,54481875805,102244362.2,420642463.4,6902600200,,530440000,8.02E+12,22526035941,3544281976,1.02E+11,,1080600000,,1.88E+12,2.11E+12,2.36E+11,98387690712,51400186379,1.39E+11,,1.53E+11,,18341273372,90391877325,37816457839,2857724220,21514080000,3.94E+11,2425033998,3271728272,1.06E+12,,6234390975,,,42620165.44,58840662.59,66946900826,24746019537,5.93E+11,,,,,,6.48E+11,,83287350252,503180670,3364611432,4.76E+11,2.02E+12,290142517.8,1.14E+12,,5711457760,,,,15912133569,1209898293,,3463565881,,3.12E+11,1.35E+11,,1.94E+12,,1595423286,1001300838,,,,,,,951900945.2,1211141231,1058269066,21213672089,2.87E+12,,1047225130,2109278102,47259911894,1527852636,1.80E+11,53132244624,1851250008,,20731243113,7.94E+12,3733352635,27089105085,19688383838,3704551600,15962459447,27502168727,,2293621944,,96898454271,12750000000,,26622818852,3416777778,,1689096190,7.72E+12,1215031775,5633000318,,,1109346221,1.96E+11,1.12E+11,9032250000,4084878668,9296921724,151270207.9,1109374722,3463639900,,590419855.1,,2.15E+11,,2.16E+11,39905111806,,782500000,,,1.23E+11,412093133.8,,127261099.2,9929682184,,1004316495,3.24E+11,,891775906.6,27371699083,,,6.11E+11,,,44667002.01,1.96E+11,2.16E+11,4602416625,7188191882,89394085658,,,2139025000,,1.47E+12,7181185278,2.63E+12,,71096359.63,48310930233,,,,119258835.3,9.97E+12,,,,57645721016,3325500000,5177459400
1980,,,3641723322,5930503401,,446416105.8,3.38E+11,43598748449,76961923742,,,131431026.7,1.50E+11,82058912465,,919726666.7,1.27E+11,1405251547,1928720390,18138049096,19839230769,3072698328,1335300000,,,197938222.4,613299968,4526916803,2.35E+11,1012280615,4928824958,135653295.2,1060923829,797048028.8,2.74E+11,,1.19E+11,,29036709872,1.91E+11,10175615442,6740756569,14394927495,1705796850,33400735644,212218226.4,142246875.5,4831447001,13495267685,19912889861,,,2154311277,,9.50E+11,,72804653.33,71127528700,6761300000,42345277342,3.75E+11,1.30E+12,1.81E+12,,4.60E+12,17881514683,21669908177,2.96E+12,,2.33E+11,,,3.30E+12,1.76E+11,53645202423,1202567359,7.01E+11,,,4279637934,5.65E+11,,4445228216,,,241080708.9,110653830.7,50642880.77,56829663469,110900457,476055288.4,7878700000,,603200000,8.95E+12,28861759209,3968160046,1.09E+11,,1383800000,,2.21E+12,2.49E+12,2.80E+11,1.26E+11,72482337370,1.53E+11,,1.86E+11,,21773901117,94362275580,53405689130,3386501918,24164509804,4.77E+11,2679409453,3910036925,1.11E+12,,7265315332,,,38715554.54,68459214.07,65398646758,28638550499,7.10E+11,,,,,170370370.4,7.81E+11,1.16E+11,88483800047,534701915.6,4024621900,5.84E+11,2.37E+12,431561376.5,1.29E+12,,6232005656,,,,21728770055,1378130996,,5201818349,42463576.16,4.01E+11,2.05E+11,,2.29E+12,,1759690812,1250242108,,,,,,,1047924649,1131788192,1237655461,24488033442,3.13E+12,2422096075,1182457143,2508524186,64201788123,2189347368,1.95E+11,64439382896,1945916583,,23244547385,8.82E+12,5981760278,37613734528,23654444444,4614086400,18134029180,32450541843,,2545983008,,1.19E+11,14436100000,,32896521426,4448087302,,1933249000,8.54E+12,1362151524,7829094613,,,1254765350,2.36E+11,1.65E+11,7459833333,4435050397,11896256783,168715353.1,1100685845,3573959900,,603592656.8,,2.72E+11,,2.73E+11,53072512037,,795000000,,,1.42E+11,542000513.6,,147357222.8,13062421025,,1033002402,3.74E+11,,1136408814,32353440727,,,7.40E+11,,,53260077.43,2.36E+11,2.73E+11,6235833333,8744134354,68789289566,,,1244610000,,1.71E+12,10163020116,2.86E+12,,82340339.63,59116511628,,,,113423181.3,1.12E+13,,,,82980483391,3829500000,6678868200
1981,,,3478787909,5550483036,,388958731.3,3.48E+11,49333424135,78676842366,,,147841734.4,1.77E+11,71034228097,,969046666.7,1.05E+11,1291119965,1775842680,20249694002,19870000000,3467819149,1426500000,,,196089854.7,739100032,5872756933,2.64E+11,1114204743,4366213850,146391639.7,1073861599,694803502.7,3.06E+11,,1.09E+11,,34509878044,1.96E+11,8432588484,7636345827,12537821038,1993512326,36388366869,196349967.7,139468114.6,2623807074,14890318684,20150254096,,,2087496374,,8.00E+11,,82107391.11,61877813965,7561300000,44348672668,4.00E+11,1.45E+12,2.00E+12,,4.09E+12,21810767209,22136081081,2.58E+12,,2.03E+11,,7324903188,2.88E+12,2.46E+11,52448332874,1235899836,6.16E+11,,,3862269127,5.41E+11,,4222441615,,,218764445.8,154731969.7,36731422.85,52346507380,115651918.9,435746974.8,8607500300,,570357107.1,9.09E+12,31055409443,4043894879,1.09E+11,,1479400000,,2.40E+12,2.81E+12,4.13E+11,2.44E+11,85518233451,1.56E+11,,1.93E+11,,20694944099,1.00E+11,38424991534,3498247432,25579228070,4.31E+11,2979061412,4384685230,1.22E+12,,6854491454,,,41369800.05,80890204.81,72933350954,25056672166,8.19E+11,,,,,194444444.4,9.00E+11,1.18E+11,91279061284,511658690.6,4415844156,7.21E+11,2.67E+12,434188034.2,1.37E+12,,5231808670,,,,17788171722,1205166026,,4759333970,44781456.95,4.15E+11,2.64E+11,31020000,2.59E+12,,1538972158,1243469361,,,,2310099100,,,1105495368,1142393555,1237685692,25004557094,3.51E+12,2246757386,972563810.2,2170893039,1.64E+11,2448290110,1.64E+11,63596654761,2275583317,,24417617184,8.99E+12,7259120151,37810527078,28100606061,5222421500,21649137620,35646416953,,2498068351,,1.67E+11,15955700000,,31977275896,5624515873,,1993195245,8.64E+12,1279972866,8661263764,,,1407062608,2.50E+11,1.84E+11,10016500000,4021697233,14175228844,187313261.3,1114830472,3437200200,,699112266.8,,3.80E+11,,3.81E+11,54839547173,,889000000,,,1.30E+11,571542674.6,,154902869,15518199247,,876937559.7,3.99E+11,,962347001,34846107862,,,8.57E+11,,,62242013.33,2.50E+11,3.81E+11,6992083333,8428513568,71040020140,,,1337300000,,1.87E+12,11048335541,3.21E+12,,102086539.3,66327441860,,,,98746405.39,1.16E+13,,,,85454420504,3872666667,8011373800
1982,,,,5550483036,,375895956.4,3.26E+11,46622718605,84307486837,,,164369278.9,1.94E+11,71275287328,,1013222222,92095926629,1267778489,1754450379,18525399202,19342000000,3645744681,1578300000,,,182206327,785500032,5587490265,2.82E+11,1163923830,4264252336,148934334,1014907255,748312283.7,3.14E+11,,1.12E+11,,25325893206,2.05E+11,7567109767,7322914570,13651667371,2160640567,38968039722,184008995.6,140630758.6,2606621255,16517826893,20953510235,,,2159242417,,7.77E+11,,89527576.67,60412844679,8267400000,45207088716,4.20E+11,1.38E+12,1.96E+12,,3.94E+12,19929853575,27655172414,2.49E+12,,1.96E+11,,7707678019,2.78E+12,2.35E+11,52797582336,1194015444,5.85E+11,,,3618007844,5.15E+11,,4035994398,,,216051496,165523634.5,44294647.73,54617991327,125435590,402405069.4,8716999700,,482000000,9.00E+12,32291306282,4266503526,1.09E+11,,1474200000,,2.38E+12,2.77E+12,3.89E+11,2.23E+11,90158449307,1.55E+11,,2.01E+11,,21500471384,1.26E+11,42595309883,3211446626,27837510288,4.27E+11,3293533288,4680567376,1.13E+12,,6431579357,,,40572066.13,86021798.52,78358866335,21577977770,7.68E+11,,,,,183333333.3,8.40E+11,1.17E+11,94152288669,522090331.5,4768765017,7.13E+11,2.64E+12,348746822.6,1.40E+12,,4764549532,,1130457130,,17692341358,1143229072,,4784977349,47935843.79,4.16E+11,1.85E+11,34918000,2.56E+12,,1333754034,1234518125,,,,2552401933,,,1108776010,1078408830,1180104216,26804401816,3.66E+12,2116069374,904619629.8,2017611927,1.43E+11,2465165180,1.58E+11,62647195538,2395429852,,24164603059,8.85E+12,7554719456,35763878063,30725971564,5769767900,21793496819,37140163934,,2368584970,,1.56E+11,16764200000,,30527754541,5419411765,,1946960346,8.60E+12,1286462643,7596703214,,,1407242640,2.59E+11,1.53E+11,9240000000,3936758682,16084252378,188446092.1,1295361886,3399189100,,774419569.7,,3.49E+11,,3.51E+11,54580423949,,915000000,,,1.14E+11,537575980.8,,147912069.8,16298905397,,834369860.4,4.19E+11,,821651918.7,36589797857,,,7.95E+11,,,62068161.07,2.59E+11,3.51E+11,8140416667,8133401050,64546332581,,,2177500000,,1.84E+12,9178802163,3.34E+12,,113759203.3,67736744186,,,,98144643.9,1.15E+13,121221651.6,,,78423059791,3994777778,8539700700
1983,,,,5784341596,,327861832.9,3.07E+11,42803323345,1.04E+11,,,182144093,1.77E+11,72121016623,,1082926304,87184238659,1095348303,1600278756,17609048822,16563666667,3735106383,1732800000,,,192103186,889400000,5422440962,2.03E+11,1236016507,3844723142,165585940.6,1172258182,658679394.9,3.41E+11,,1.11E+11,,20355959237,2.31E+11,6838185419,7381854747,11006712650,2097274290,38729822782,191621958.4,138476239.4,3146770104,16735577942,22204940512,,,2160364071,,7.71E+11,,98665191.48,60644782176,9220600000,48801369800,4.40E+11,1.39E+12,2.08E+12,,3.82E+12,17152483214,30966239814,2.43E+12,,1.71E+11,,8567890821,2.70E+12,1.98E+11,50973526900,1123107276,5.60E+11,,106500000,3391275731,4.90E+11,,4057275043,,,213446562.6,163577538.3,44442456.95,49428872678,131803552.2,416183706.9,9050000400,,489333333.3,9.30E+12,29907091340,4476697185,1.03E+11,,1623600000,,2.34E+12,2.66E+12,3.25E+11,1.69E+11,81052283405,1.50E+11,,2.18E+11,,20790917197,1.56E+11,40595046639,2770107923,31092229537,4.43E+11,3619294121,4920407601,1.24E+12,,5979198464,,,37837837.84,86875571.48,87760360941,20869434305,6.77E+11,,,,,197037037,7.40E+11,1.10E+11,91278598683,524034109.9,5167913302,6.77E+11,2.56E+12,386699308.9,1.29E+12,,4683697830,,1121486563,,16251460689,1092551781,,4686457013,57829787.23,4.23E+11,1.56E+11,41749000,2.47E+12,,1297765449,1165771369,,,,2725736633,,,1165170626,1090276947,1223186840,30346788438,3.98E+12,2293990996,823832940.5,1803099732,97094911791,2743341724,1.53E+11,61627240831,2447174803,,24309279706,9.15E+12,7932541691,33785572242,28691889764,5923755900,17345624454,33212180658,,2562492525,,1.25E+11,17276600000,,27239650742,5673248726,,1864552491,8.92E+12,1335895286,6467582308,,,1479688126,2.74E+11,1.29E+11,8230153846,3512053232,17784112150,180219397.5,995104305.3,3506347800,,733901365.9,,3.04E+11,,3.05E+11,52816555127,,883500000,,,1.05E+11,555336145.8,,146712850.5,17589184557,,832415806,4.40E+11,,765746590.6,40042826244,,,6.94E+11,,,60863963.96,2.74E+11,3.05E+11,7763750000,8350176783,61678280115,,,2240333333,,1.80E+12,5102281256,3.63E+12,,122255349.6,67556279070,,,,110123779.8,1.17E+13,111862823.6,,,87415851379,3216307692,7764067000
1984,,,,6131475065,1857338012,330070689.3,3.11E+11,41807954236,79092001998,,,208372846.3,1.93E+11,67985345162,,987143931.2,83349529880,1051133927,1459880353,18920840000,17594944444,3905585106,2041100000,,,214381949,985699968,6169501038,2.09E+11,1346890071,3782523088,169264991.2,1240796365,637820620.7,3.55E+11,,1.06E+11,,19622527480,2.60E+11,6841638715,7801858825,7857729193,2193581366,38253120738,184697210,132019065,3660476459,15982827538,24039383608,,,2278248953,,7.25E+11,,109157070.7,59105236854,11594000000,53698278906,4.78E+11,1.38E+12,2.23E+12,,3.68E+12,16912515183,33971188992,2.33E+12,,1.72E+11,,8096302367,2.60E+12,1.78E+11,52888800950,1177997414,5.31E+11,,,3561451562,4.61E+11,,4412279843,,,177338801.9,138478900.6,50320914.41,48020024788,145533310.7,379371608.4,9470000100,,437631605.3,9.70E+12,33511383986,4915311846,1.03E+11,,1816200000,,2.40E+12,2.69E+12,2.99E+11,1.45E+11,84853699994,1.50E+11,,2.12E+11,,20130728188,1.62E+11,46802508845,2868747035,29160458731,4.38E+11,2373566957,4966710013,1.32E+12,,6191437070,,,41246160.6,98603924.81,97510235986,21697297872,6.83E+11,1757142806,,,,251481481.5,7.47E+11,1.10E+11,88689503409,502617355.4,6043474843,6.53E+11,2.59E+12,333158476.2,1.36E+12,,4594891581,,1292281654,,14824728528,1037314956,,3905938481,109503546.1,4.29E+11,1.84E+11,45144000,2.50E+12,,1232932008,1101828569,,,,2098734600,,,1074373735,1040557089,1208008985,33943505718,4.39E+12,1947967886,796018978.5,1461243212,73484359521,3105517091,1.44E+11,62057955033,2581207388,,21665975319,9.56E+12,8821366532,34029241950,31151825467,6183387100,17599660054,31408492877,,2552526263,,1.14E+11,19162600000,,25217969597,4502462807,,2044131563,9.32E+12,1378991403,6704395824,,,1587412957,2.73E+11,1.20E+11,9701357143,3425127373,19749361098,252806783.4,1087471862,3661683400,,788307213.4,,2.66E+11,,2.67E+11,52408839393,,864000000,,,1.09E+11,494475699.9,,151313242,17503082982,,919103735.3,4.77E+11,,718148959.6,41797592963,,,6.97E+11,,,64248354.54,2.73E+11,2.67E+11,7757083333,8254891864,59989909458,,,3615647477,,1.85E+12,4850241442,4.04E+12,,135024987.8,60010285714,,,,135553764,1.22E+13,109200934.3,,,77344092904,2739444444,6352125900
1985,,,,7553560459,1897050133,346737964.8,3.08E+11,40603650232,88416668900,,,240923924.8,1.80E+11,69386774475,,1149979286,86268264488,1045712703,1552493414,22278423077,17155421053,3651861702,2320699900,,,212643742.7,1039500032,5377277407,2.23E+11,1409536121,3523612563,172217502,1114764007,864849765.1,3.65E+11,,1.08E+11,,17702885394,3.09E+11,6977650069,8148223604,7195042616,2160872541,34894411352,196726077.1,137728155.2,3919203960,15814749078,22920490774,,,2430411900,,7.33E+11,340989528,119491933,62658568287,5044592945,57937868670,5.24E+11,1.41E+12,2.36E+12,,3.80E+12,17149094590,39053502251,2.40E+12,,1.81E+11,,9480840483,2.68E+12,1.82E+11,55875863392,1141210125,5.53E+11,,,3339914759,4.89E+11,,4504342149,,,225724851.7,143856253.1,62118564.85,47820850975,167728455.2,412876071.1,9721652087,,453488372.1,1.02E+13,35699543051,5278120713,1.07E+11,,2009400000,,2.53E+12,2.83E+12,3.07E+11,1.45E+11,85289491750,1.59E+11,,2.33E+11,,21295485800,1.80E+11,48284979093,2988537806,27504906778,4.52E+11,2100223150,4993829194,1.40E+12,,6135034338,,,32125148.4,111008962.2,1.01E+11,21442619681,7.06E+11,2366666616,,,,284444444.4,7.70E+11,1.21E+11,92872035445,529078995.6,5978460972,6.93E+11,2.72E+12,268626912.5,1.46E+12,,4738559685,,1348827324,,14991283216,1082851077,,3802557895,127154929.6,4.36E+11,1.95E+11,43879000,2.64E+12,,1392195933,1117835286,,,,2186505475,,,1009723326,1076121094,1131347798,31200161095,4.70E+12,1605911706,854823821.7,1440581534,73745821156,2683816289,1.44E+11,65416879914,2619913956,,24679795396,1.01E+13,10005500579,32341543001,31144920844,6541517100,16548827018,30734335449,,2423373088,,1.17E+11,20289200000,,27115807154,3282449236,,1935167472,9.82E+12,1507230779,6153296456,,,1715625839,2.97E+11,1.04E+11,12403733333,3750056424,19156532746,232306861.2,856890498.6,3800368600,,876404617.7,,2.51E+11,,2.52E+11,50481620878,,873000000,,,1.14E+11,361014890.5,,168887539.1,16403544511,,1033069710,5.23E+11,,762359722.7,38900692712,,,7.19E+11,,,60058663.31,2.97E+11,2.52E+11,7375918367,8410185740,67234948265,,,3519666339,,1.95E+12,4732017873,4.34E+12,,145641705.2,61965466667,,,14094687821,123698506.1,1.28E+13,95572172.98,,,59082638803,2281258065,5637259300
1986,,405463417.1,,7072063345,2097326250,482000594,2.94E+11,33943612095,1.11E+11,,,290440140.7,1.82E+11,99036165210,,1201725497,1.20E+11,1336102041,2036303381,21774033333,20249294118,3052393617,2472500000,,,231638320.5,1173500032,3958338883,2.68E+11,1547755183,2358592817,201375725.6,1392634772,1122265026,3.77E+11,,1.54E+11,,18891048819,3.01E+11,9158302205,10621158533,8095367168,1849268215,34942489684,279197696.8,190651208,4418983871,14441278122,24226574634,,,3090734463,,1.05E+12,,135161958.5,88078760104,6122198120,63696301893,5.22E+11,1.43E+12,3.08E+12,,5.19E+12,15314143988,41253507951,3.36E+12,,2.51E+11,,9848600870,3.75E+12,1.70E+11,73531550551,1290228617,7.71E+11,,112210000,3403638194,6.01E+11,,5727602645,,1922600899,185646209.4,130225018.8,76407396.76,56379593720,187589522.6,603015696.5,7231963516,,504651139.5,1.24E+13,41075570592,5677828959,1.23E+11,,2318000000,,2.63E+12,2.93E+12,3.02E+11,1.30E+11,79954072570,1.71E+11,,2.49E+11,,28748959623,2.09E+11,47127693792,3995619693,34097559618,6.40E+11,2754566176,6401380000,2.08E+12,,7239126717,,,32085561.5,130684579.6,1.17E+11,17903681693,7.09E+11,1776842041,,,,340000000,7.76E+11,1.32E+11,99356839684,779365167.6,6405210564,7.28E+11,2.82E+12,318862888.4,1.55E+12,,6921264132,,1517496131,,19462175322,1515209588,,4347989799,141902097.9,4.47E+11,1.35E+11,55989000,2.73E+12,,1852163475,1435079200,,,,2896178867,,,1186628779,1462900255,1183654828,27734562640,4.96E+12,1806223061,1201262518,1904097020,54805852581,2885710609,2.01E+11,78693253276,2850784523,,30604668357,1.22E+13,7323822251,32751359905,31899070056,6797834200,15244232958,29868339081,,2648033766,,1.13E+11,22009300000,,38745902024,3723993943,,2100858184,1.20E+13,2301514717,5053021951,,,1944711061,3.14E+11,86961922765,15769062500,5304238013,18586746057,210737869.7,490181456.6,3771663200,,930318705.3,,2.57E+11,,2.59E+11,49546534861,,891000000,,,1.50E+11,449146608.3,,207850623.6,13293209270,,1067828247,5.21E+11,,1060911735,43096746122,,,7.22E+11,,,68195855.61,3.14E+11,2.59E+11,4794444444,9018136020,75728009963,,,3923232122,,2.00E+12,5880112788,4.58E+12,,160846656.7,60391604938,,,26336616250,118691396.8,1.51E+13,100947848.6,,,67521602553,1661948718,6217523700
1987,,487602457.7,,8083872012,2080796250,611316399.4,3.13E+11,36384908744,1.11E+11,,,337174861.9,1.89E+11,1.24E+11,,1131466494,1.49E+11,1562412030,2369835439,24298032258,28101000000,3392021011,2713999900,,,281082558.6,1296499968,4323623622,2.94E+11,1704370308,2754463438,253182453.7,1965274882,1200991826,4.31E+11,,1.93E+11,,22255407685,2.73E+11,10087653189,12302471429,7661625473,2297753649,36373307085,337525870.6,235253171.8,4532952047,15521748105,25213935012,,,3704813886,,1.30E+12,373371738.3,151868754.4,1.09E+11,5826987099,66742267773,5.16E+11,1.43E+12,3.62E+12,,6.42E+12,13945431882,40455616654,4.16E+12,,3.19E+11,,10527338647,4.63E+12,1.70E+11,91594751792,1177908192,9.34E+11,,116700000,3281797039,7.45E+11,,5074829932,,2041538057,220626484.2,173836362,93345847.73,65652751132,215009569.6,787392365.8,7084399840,,354591846.9,1.43E+13,50622571586,6190521241,1.38E+11,,2047200000,,2.69E+12,3.00E+12,3.19E+11,1.33E+11,75929617577,1.85E+11,,2.79E+11,,33961141386,1.34E+11,56609842393,5528616190,40963276308,8.06E+11,3286987552,6755599114,2.53E+12,,7970820531,,,33608738.27,147748773.3,1.48E+11,22365734482,7.45E+11,1087273104,,,,375555555.6,8.19E+11,1.48E+11,1.07E+11,1052843348,6682167120,7.96E+11,2.89E+12,402774852.7,1.63E+12,,8614215559,,1941246972,,21765261042,1839095595,,3212900561,141268980.5,4.11E+11,1.48E+11,62983000,2.79E+12,,2090629723,1751247763,,,,3020611600,,,1344665271,1880852914,1183094128,32181695507,5.29E+12,2296378835,1488113532,2233005823,52676041931,3851213728,2.45E+11,94230055659,2957255380,,40376354070,1.41E+13,7811183095,38869819042,33351529275,6827665300,20702298397,33195933430,,3143848331,,1.25E+11,24025800000,,48182925146,3971044724,,2063823086,1.39E+13,2543199148,5446428681,38413636364,,2157434025,3.49E+11,85695861148,20155555556,6381385760,20919215578,238606299.6,701307602.3,3958045800,,1009792724,,2.94E+11,,2.96E+11,56606385888,,980000000,,,1.83E+11,584135559.9,,249267039.8,11356215713,,1163426851,5.15E+11,,1249099130,50535438696,,2331358820,7.61E+11,,,81667133.45,3.49E+11,2.96E+11,4797777778,9696271268,87172789528,,,6269511615,64087694038,1.99E+12,7367494080,4.86E+12,,175580647.4,48029034483,,,36658108850,130834145.1,1.72E+13,111713922.1,,,88573697222,2269894737,6741215100
1988,,596423607.1,,8769250550,2051236250,721425939.2,3.08E+11,36275674203,1.26E+11,,,398637727.8,2.36E+11,1.33E+11,,1082403219,1.62E+11,1620246187,2616040646,26579005760,22555941176,3702393617,2817900000,,,320093360.3,1415100032,4597615563,3.30E+11,1812757918,2690717551,283855833.3,2644536804,1264899368,5.07E+11,,2.09E+11,,26040229793,3.12E+11,10255170460,12493286762,8861299977,2212536313,39212550050,356500026.7,264308140.3,4614629898,16459864029,27458999472,,,4278792597,,1.40E+12,395794538.6,171106184.1,1.16E+11,5374314928,59089067187,5.72E+11,1.53E+12,4.35E+12,8.63E+11,7.14E+12,13051886552,34980124929,4.58E+12,,3.76E+11,,10908935749,5.09E+12,1.80E+11,1.09E+11,1109976928,1.02E+12,,124700000,3834503378,9.10E+11,,5197840979,,2384295764,266673126.2,164458120.3,100534663.3,76261278405,236357523.7,898611007.9,7841602824,,413799990,1.61E+13,59707404561,5902717092,1.38E+11,,2613926800,,2.91E+12,3.23E+12,3.26E+11,1.38E+11,84300174477,1.87E+11,,2.97E+11,,37818133293,1.23E+11,62503055645,6115814935,50099378323,8.92E+11,3828310735,6277197435,3.07E+12,,8355380879,,,42972107.2,172692174.4,2.00E+11,20692472760,8.42E+11,598961269.3,3313540068,,,429629629.6,9.23E+11,1.53E+11,1.05E+11,1161757671,6978371581,8.19E+11,3.10E+12,470389179.7,1.80E+12,,9750161053,,2269233639,,25705296184,2000674667,,3189456961,168610478.4,4.08E+11,1.82E+11,70688000,3.01E+12,,2169040742,2019474244,,,,3204461567,,,1414951854,2134517068,1379924257,35271880250,5.75E+12,2491412336,2072735787,2280356338,49648470440,2630904262,2.62E+11,1.02E+11,3487009748,,45176811594,1.59E+13,8386215865,43670380808,38472742808,5902783400,15439408447,37885440419,,3655979702,,1.28E+11,26385800000,,56347251114,4255683528,,2162279879,1.57E+13,2687472830,6038187033,40809523810,5.55E+11,2395493878,3.75E+11,88256074766,15399166667,6311054901,25371462488,310684273.7,1055083945,4189880000,,1038291284,,3.02E+11,,3.05E+11,62383319450,,1161000000,,,2.07E+11,692016714.3,,283828769,10577042355,,1482597299,5.71E+11,9.89E+11,1378847487,61667199835,,3010982414,8.60E+11,,,106657267.4,3.75E+11,3.05E+11,4496852073,10096292842,90852814005,,5100405772,6508931652,74703517903,2.19E+12,8213515459,5.24E+12,,200726712.6,60226413793,,,25423812649,148545381.4,1.92E+13,133016065.4,,,95176640968,3713614458,7814784100
